,GAUL,Year,NDVI
647,66,2008,0.6035155070894564
648,66,2009,0.6071518758948354
649,66,2010,0.6185994258739892
650,66,2011,0.6126550395608725
651,66,2012,0.6126698893168668
652,66,2013,0.6179853877894914
653,66,2014,
654,66,2015,
655,66,2016,
656,66,2017,
657,66,2018,
658,66,2019,
659,66,2020,
660,62,2001,0.6019395767430785
661,62,2002,0.5790725938714051
662,62,2003,0.56811470059472
663,62,2004,0.5857694869463723
664,62,2005,0.5836463995483259
665,62,2006,0.5852256373104047
666,62,2007,0.6081299862700249
667,62,2008,0.5988688582751517
668,62,2009,0.5946506949452911
669,62,2010,0.5992001884237492
670,62,2011,0.6116815760602867
671,62,2012,0.6021218292078715
672,62,2013,0.6032276667141595
673,62,2014,
674,62,2015,
675,62,2016,
676,62,2017,
677,62,2018,
678,62,2019,
679,62,2020,
680,63,2001,0.6546533476525772
681,63,2002,0.6492715638409219
682,63,2003,0.6605886111359266
683,63,2004,0.6284288382773361
684,63,2005,0.6320340171615044
685,63,2006,0.6598746000605722
686,63,2007,0.6695990468822027
687,63,2008,0.676537917413996
688,63,2009,0.6779746965951724
689,63,2010,0.69073151007014
690,63,2011,0.6692088906274983
691,63,2012,0.6697559688249037
692,63,2013,0.673979077827069
693,63,2014,
694,63,2015,
695,63,2016,
696,63,2017,
697,63,2018,
698,63,2019,
699,63,2020,
700,64,2001,0.2988566799330167
701,64,2002,0.314640063127903
702,64,2003,0.31746728188372125
703,64,2004,0.3277651917657414
704,64,2005,0.3224824997166629
705,64,2006,0.3162096978758626
706,64,2007,0.31304946714474813
707,64,2008,0.2744547425261958
708,64,2009,0.3162190198830606
709,64,2010,0.3294355006086029
710,64,2011,0.3341210223025349
711,64,2012,0.37041216220128675
712,64,2013,0.3467619883517397
713,64,2014,
714,64,2015,
715,64,2016,
716,64,2017,
717,64,2018,
718,64,2019,
719,64,2020,
720,65,2001,0.585945205852792
721,65,2002,0.5846127083905724
722,65,2003,0.5497788753533935
723,65,2004,0.5556888219448525
724,65,2005,0.5865751068477613
725,65,2006,0.5764732551602855
726,65,2007,0.6206565005296066
727,65,2008,0.6142334151036833
728,65,2009,0.5921592677870102
729,65,2010,0.5476397467033199
730,65,2011,0.6484928657585085
731,65,2012,0.603410905614655
732,65,2013,0.6084816671317613
733,65,2014,
734,65,2015,
735,65,2016,
736,65,2017,
737,65,2018,
738,65,2019,
739,65,2020,
740,67,2001,0.4976748841937136
741,67,2002,0.5051225356463368
742,67,2003,0.48259354261993703
743,67,2004,0.4883877701430703
744,67,2005,0.4782930339080525
745,67,2006,0.48814478814091083
746,67,2007,0.48529229528484824
747,67,2008,0.5075108890327064
748,67,2009,0.49451191917574283
749,67,2010,0.48500877617303634
750,67,2011,0.5053560538447425
751,67,2012,0.46369073035457625
752,67,2013,0.48229699175484586
753,67,2014,
754,67,2015,
755,67,2016,
756,67,2017,
757,67,2018,
758,67,2019,
759,67,2020,
760,68,2001,0.7107024792262285
761,68,2002,0.7103218487613884
762,68,2003,0.7017573358729597
763,68,2004,0.694973352450225
764,68,2005,0.7066837536143552
765,68,2006,0.7188335137683453
766,68,2007,0.7032204700348167
767,68,2008,0.7055240485857528
768,68,2009,0.7168743679109316
769,68,2010,0.7115473732457991
770,68,2011,0.698981843485635
771,68,2012,0.6785505046369815
772,68,2013,0.6986898073165507
773,68,2014,
774,68,2015,
775,68,2016,
776,68,2017,
777,68,2018,
778,68,2019,
779,68,2020,
780,69,2001,0.5173935595331108
781,69,2002,0.5270143841586697
782,69,2003,0.5115524808932929
783,69,2004,0.534668601191851
784,69,2005,0.5363768440950802
785,69,2006,0.5092479958013004
786,69,2007,0.5503054004039621
787,69,2008,0.5341281926195377
788,69,2009,0.5374065243555219
789,69,2010,0.46977351071843243
790,69,2011,0.5215165512412944
791,69,2012,0.5298232807173107
792,69,2013,0.5228216011972301
793,69,2014,
794,69,2015,
795,69,2016,
796,69,2017,
797,69,2018,
798,69,2019,
799,69,2020,
800,70,2001,0.1092864503589757
801,70,2002,0.10728462063252597
802,70,2003,0.10720971276124049
803,70,2004,0.09802941426007931
804,70,2005,0.10106869266287255
805,70,2006,0.10241476109456708
806,70,2007,0.10304568967468285
807,70,2008,0.09931042350961121
808,70,2009,0.09621159829439245
809,70,2010,0.09500911833157451
810,70,2011,0.09553273250664107
811,70,2012,0.1357924417368934
812,70,2013,0.1270685997778931
813,70,2014,
814,70,2015,
815,70,2016,
816,70,2017,
817,70,2018,
818,70,2019,
819,70,2020,
820,71,2001,0.6294508475148274
821,71,2002,0.6392455550711861
822,71,2003,0.6251679730541073
823,71,2004,0.6257143324373756
824,71,2005,0.6373609022473037
825,71,2006,0.6332454015979958
826,71,2007,0.627406347218694
827,71,2008,0.6317435975300355
828,71,2009,0.6319395555566168
829,71,2010,0.6493964439327311
830,71,2011,0.6138717204055025
831,71,2012,0.6100853325923284
832,71,2013,0.6048948620495697
833,71,2014,
834,71,2015,
835,71,2016,
836,71,2017,
837,71,2018,
838,71,2019,
839,71,2020,
840,72,2001,0.6963915455221263
841,72,2002,0.7034762554169841
842,72,2003,0.6993348898724537
843,72,2004,0.7042843187045342
844,72,2005,0.7048685428138198
845,72,2006,0.7141405249525398
846,72,2007,0.7122735822117066
847,72,2008,0.7212395707707283
848,72,2009,0.7260683157815627
849,72,2010,0.722075452073809
850,72,2011,0.7222608824643338
851,72,2012,0.7297413552915039
852,72,2013,0.7097390631832257
853,72,2014,
854,72,2015,
855,72,2016,
856,72,2017,
857,72,2018,
858,72,2019,
859,72,2020,
860,73,2001,0.5813069457544944
861,73,2002,0.5619750030373559
862,73,2003,0.5531460077689372
863,73,2004,0.5534908189186489
864,73,2005,0.5658491905566321
865,73,2006,0.5883350680199579
866,73,2007,0.5596095855469577
867,73,2008,0.5784624727340828
868,73,2009,0.577345061719979
869,73,2010,0.5791591796266444
870,73,2011,0.6120246180658377
871,73,2012,0.5845676843569938
872,73,2013,0.5682084404449425
873,73,2014,
874,73,2015,
875,73,2016,
876,73,2017,
877,73,2018,
878,73,2019,
879,73,2020,
880,40765,2001,0.11625884427931253
881,40765,2002,0.1147472547703816
882,40765,2003,0.11224146648291304
883,40765,2004,0.1105145323001037
884,40765,2005,0.10871378619197329
885,40765,2006,0.10882198398530579
886,40765,2007,0.10998998092232247
887,40765,2008,0.10970244228405601
888,40765,2009,0.11436196533553085
889,40765,2010,0.11352309301002672
890,40765,2011,0.11810677851337496
891,40765,2012,0.12290773667770045
892,40765,2013,0.121615180297402
893,40765,2014,
894,40765,2015,
895,40765,2016,
896,40765,2017,
897,40765,2018,
898,40765,2019,
899,40765,2020,
900,75,2001,0.6369673350437444
901,75,2002,0.6381206070197406
902,75,2003,0.6409141193334561
903,75,2004,0.643189586785356
904,75,2005,0.6364949189443835
905,75,2006,0.6457588966680571
906,75,2007,0.6370957920519733
907,75,2008,0.6305230523557451
908,75,2009,0.6480212367852748
909,75,2010,0.6325074494012702
910,75,2011,0.6432356592924743
911,75,2012,0.6648129590700488
912,75,2013,0.6271662374087337
913,75,2014,
914,75,2015,
915,75,2016,
916,75,2017,
917,75,2018,
918,75,2019,
919,75,2020,
920,78,2001,0.47945198359743274
921,78,2002,0.4967239634122129
922,78,2003,0.46711447591110744
923,78,2004,0.4857583607307876
924,78,2005,0.48824985997191406
925,78,2006,0.46588057852687936
926,78,2007,0.4855187052095782
927,78,2008,0.477374923967443
928,78,2009,0.47667075595233155
929,78,2010,0.47158542589019836
930,78,2011,0.49322665657314957
931,78,2012,0.47033604010116287
